"Record_@setEntry","Record_Access-Restrictions","Record_Access-Restrictions_0","Record_Access-Restrictions_1","Record_AccessionNumber","Record_AccessionNumber_0","Record_AccessionNumber_1","Record_Archives-Location","Record_Archives-Location_0","Record_Archives-Location_1","Record_Archives-Location_2","Record_Archives-Location_3","Record_Date-Received","Record_Date-Received_0","Record_Date-Received_1","Record_Description","Record_Description_0","Record_Description_1","Record_Description_10","Record_Description_11","Record_Description_12","Record_Description_13","Record_Description_14","Record_Description_15","Record_Description_16","Record_Description_17","Record_Description_18","Record_Description_19","Record_Description_2","Record_Description_20","Record_Description_21","Record_Description_22","Record_Description_23","Record_Description_24","Record_Description_25","Record_Description_26","Record_Description_27","Record_Description_28","Record_Description_29","Record_Description_3","Record_Description_30","Record_Description_31","Record_Description_32","Record_Description_33","Record_Description_34","Record_Description_35","Record_Description_36","Record_Description_37","Record_Description_38","Record_Description_39","Record_Description_4","Record_Description_40","Record_Description_41","Record_Description_42","Record_Description_43","Record_Description_44","Record_Description_45","Record_Description_46","Record_Description_47","Record_Description_48","Record_Description_49","Record_Description_5","Record_Description_50","Record_Description_51","Record_Description_52","Record_Description_53","Record_Description_54","Record_Description_55","Record_Description_56","Record_Description_57","Record_Description_58","Record_Description_59","Record_Description_6","Record_Description_60","Record_Description_61","Record_Description_62","Record_Description_7","Record_Description_8","Record_Description_9","Record_Donor-Office","Record_Donor-Office_0","Record_Donor-Office_1","Record_Donor-Office_2","Record_Donor-Office_3","Record_Extent","Record_Extent_0","Record_Extent_1","Record_Inclusive-Date","Record_Inclusive-Date_0","Record_Inclusive-Date_1","Record_Inclusive-Date_2","Record_Notes","Record_Notes_0","Record_Notes_1","Record_Notes_2","Record_Notes_3","Record_Title","Record_Title_0","Record_Title_1","Record_Title_2","Record_Title_3"
"522","None","","","2003-104","","","Unit A, Bay 5, Shelf 2","","","","","3 June 2003","","","A program for a play entitled ""Cheaper by the Dozen"" presented by the Dramatics Club of Mount Saint Vincent College, April 25 and 26, 1957","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Drs. Flinn and Buckley, Halifax","","","","","None","","","April 1957","","","","None","","","","","None","","","",""
"523","None","","","2003-105","","","Faculty publications","","","","","2 June 2003","","","Staking her Claim: Buffy the Vampire Slayer as Transgressive Woman Warrior by Frances H. Early","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","Winter 2001","","","","None","","","","","None","","","",""
"524","None","","","1981-28","","","Unit C, Bay 5, Shelf 6","","","","","October 9, 1981","","","Interoffice memos regarding graduates and transfers, Biology Dept. - MSVU - Sister Mary Lua Gavin
List of graduates of Bachelor of Science, 1973-1976","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sister Mary Lua Gavin","","","","","? file folders","","","1973-1976","","","","CC 38","","","","","Biology","","","",""
"525","None","","","1981-29","","","GC Section","","","","","October 9, 1981","","","Rosaria Centre - Architectural photographs (sketches) and plans.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Library","","","","","None","","","Spring 1979","","","","None","","","","","None","","","",""
"526","None","","","1981-30","","","Unit C, Bay 5, Shelf 6","","","","","October 9, 1981","","","List of recipients of Bachelor of Science degrees at Mount Saint Vinecent University and College","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Science department","","","","","1 file folder","","","1955 to 1963","","","","CC 38","","","","","Science","","","",""
"527","None","","","1981-31","","","Unit C, Bay 5, Shelf 5","","","","","October 9, 1981","","","Graduates, Bachelor of Science, memos and other correspondence, Sister M.L. Gavin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","1 file folder","","","1973 to 1976","","","","CC-37","","","","","Biology","","","",""
"528","None","","","1981-33","","","Scrapbook","","","","","October 13, 1981","","","""Write-well"" series,  newspaper clippings, from the ""Mail Star"", Vol. 33, No. 235, page 15.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","October 8, 1981","","","","None","","","","","None","","","",""
"529","None","","","1981-34","","","Scrapbook","","","","","October 13, 1981","","","Newspaper clipping ""Notes in brief"" from the Mail-Star, Halifax, NS, Vol. 33, No. 235, page 32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","October 8, 1981","","","","None","","","","","None","","","",""
"530","None","","","1981-35","","","Scrapbook","","","","","October 13, 1981","","","Newspaper clipping ""Meeting notices"" from the Mail-Star, Halifax, NS, vol. 33, No. 235, page 32.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","October 8, 1981","","","","None","","","","","None","","","",""
"531","None","","","1981-36","","","Scrapbook","","","","","October 13, 1981","","","Newspaper clipping ""Scholarship"" in the Mail-Star, Halifax, Vol. 33, No. 235, page 15.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","October 8, 1981","","","","None","","","","","None","","","",""
"532","None","","","1981-37","","","Scrapbook","","","","","October 13, 1981","","","Newspaper clipping ""Letters to the Editor"" in the Journal, St. Mary's University Student Newspaper, Vol. 47, No. 3, page 4.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","October 7, 1981","","","","None","","","","","None","","","",""
"533","None","","","1981-38","","","Scrapbook","","","","","October 13, 1981","","","Newspaper clippings ""Atlantic Day of Protest:  5000 look for Tories to burn"" in the Journal, Halifax, St. Mary's University Newspaper, Vol. 47, No. 3, p. 3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","October 7, 1981","","","","None","","","","","None","","","",""
"534","None","","","1981-39","","","Scrapbook","","","","","October 13, 1981","","","Newspaper clipping of black and white photograph - Aeolian singers - a music extravaganze at Seton Academic Centre, MSVU, in the Mail Star, Halifax, Vol. 33, No. 237, page 34.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","October 10, 1981","","","","None","","","","","None","","","",""
"535","None","","","1981-40","","","Scrapbook","","","","","October 13, 1981","","","Newspaper clipping ""Nestle War continues but Tactics are subtler"" in the Dalhousie Gazette, Vol. 114, No. 5, page 11.  Article written by MSVU student","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","October 8, 1981","","","","None","","","","","None","","","",""
"536","None","","","1981-41","","","Scrapbook","","","","","October 15, 1981","","","Newspaper clippings ""Atlantic Day of protest:  5000 look for Tories"" in the Dalhousie Gazette, vol. 114, no. 5, p. 3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","October 15, 1981","","","","None","","","","","None","","","",""
"537","None","","","1981-42","","","Scrapbook","","","","","October 13, 1981","","","Newspaper clipping ""to the Editor"" in the Dalhousie gazette, Vol. 114, no. 5, p. 4.  Article written by a MSVU student.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","October 15, 1981","","","","None","","","","","None","","","",""
"538","None","","","1981-43","","","Scrapbook","","","","","October 13, 1981","","","Newspaper clipping ""On campus"" from the Mayflower:  Friday supplement to the Mail-Star.  ""On Campus:  Malawi native taking home economics degree to help her people""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","October 8, 1981","","","","None","","","","","None","","","",""
"539","None","","","1981-44","","","Scrapbook","","","","","October 13, 1981","","","Newspaper clipping ""On Campus:  PR degree at MSV first to be awarded in Canada"" in the Mail Star Mayflower supplement, Halifax.  Several photographs included of PR students at a work assignment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","October 9, 1981","","","","None","","","","","None","","","",""
"540","None","","","1981-45","","","Scrapbook","","","","","October 1981","","","Newspaper clipping ""Peter Allen""  Black and white photograph.  Peter Allen gave his first piano recital at age 11 at MSVU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","October 10, 1981","","","","None","","","","","None","","","",""
"541","None","","","1981-46","","","Scrapbook","","","","","October 1981","","","Newspaper clipping ""Kommen Sie alle zum Oktoberfest"" from the Dalhousie Gazette, vol. 114, No 5, page 15.  Black and white photograph of a band.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","October 8, 1981","","","","None","","","","","None","","","",""
